name,MAP_ID,lat,long
Addison (Blue Line),41240,41.94738,-87.71906
Austin (Blue Line),40010,41.870851,-87.776812
Belmont (Blue Line),40060,41.938132,-87.712359
California (Blue Line),40570,41.921939,-87.69689
Chicago (Blue Line),41410,41.896075,-87.655214
Cicero (Blue Line),40970,41.871574,-87.745154
"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink Lines)",40380,41.885737,-87.630886
Clinton (Blue Line),40430,41.875539,-87.640984
Cumberland (Blue Line),40230,41.984246,-87.838028
Damen (Blue Line),40590,41.909744,-87.677437
Division (Blue Line),40320,41.903355,-87.666496
Forest Park (Blue Line),40390,41.874257,-87.817318
Grand (Blue Line),40490,41.891189,-87.647578
Harlem (Blue Line - Forest Park Branch),40980,41.87349,-87.806961
Harlem (Blue Line - O'Hare Branch),40750,41.98227,-87.8089
Illinois Medical District (Blue Line),40810,41.875706,-87.673932
Irving Park (Blue Line),40550,41.952925,-87.729229
Jackson (Blue Line),40070,41.878183,-87.629296
Jefferson Park (Blue Line),41280,41.970634,-87.760892
Kedzie-Homan (Blue Line),40250,41.874341,-87.70604
LaSalle (Blue Line),41340,41.875568,-87.631722
Logan Square (Blue Line),41020,41.929728,-87.708541
Monroe (Blue Line),40790,41.880703,-87.629378
Montrose (Blue Line),41330,41.961539,-87.743574
Oak Park (Blue Line),40180,41.872108,-87.791602
O'Hare (Blue Line),40890,41.97766526,-87.90422307
Pulaski (Blue Line),40920,41.873797,-87.725663
Racine (Blue Line),40470,41.87592,-87.659458
Rosemont (Blue Line),40820,41.983507,-87.859388
UIC-Halsted (Blue Line),40350,41.875474,-87.649707
Washington (Blue Line),40370,41.883164,-87.62944
Western (Blue Line - O'Hare Branch),40670,41.916157,-87.687364
Western (Blue Line - Forest Park Branch),40220,41.875478,-87.688436
